ID	no rank	superkingdom	clade	phylum	class	order	family	genus	species	strain	no rank2	clade2	clade3
NZ_GG666997.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium accolens	Corynebacterium accolens ATCC 49725	NA	NA	NA
NC_007795.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	Staphylococcus aureus subsp. aureus NCTC 8325	NA	NA	NA
NZ_JIAH01000003.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA
NZ_BMRF01000063.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA
NZ_REGE01000035.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium macginleyi	NA	NA	NA	NA
NZ_BMRF01000072.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA
NZ_JIAH01000004.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA
NZ_QPLJ01000067.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia formosa	NA	NA	NA	NA
NZ_BHXD01000053.1	cellular organisms	Bacteria	NA	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho globiformans	NA	NA	NA	NA
NZ_JADKPO010000068.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides agariphilus	NA	NA	NA	NA
