ID	taxa	rank
NZ_GG666997.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium accolens;Corynebacterium accolens ATCC 49725;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;strain;
NC_007795.1	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus subsp. aureus NCTC 8325;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;strain;
NZ_JIAH01000003.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudodiphtheriticum;Corynebacterium pseudodiphtheriticum DSM 44287;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;strain;
NZ_BMRF01000063.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura cremea;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_REGE01000035.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium macginleyi;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BMRF01000072.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura cremea;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_JIAH01000004.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudodiphtheriticum;Corynebacterium pseudodiphtheriticum DSM 44287;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;strain;
NZ_QPLJ01000067.1	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;Jannaschia formosa;	no rank;superkingdom;phylum;class;order;family;genus;species;
NZ_BHXD01000053.1	cellular organisms;Bacteria;Thermotogae;Thermotogae;Thermotogales;Fervidobacteriaceae;Thermosipho;Thermosipho globiformans;	no rank;superkingdom;phylum;class;order;family;genus;species;
NZ_JADKPO010000068.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides agariphilus;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BHXD01000057.1	cellular organisms;Bacteria;Thermotogae;Thermotogae;Thermotogales;Fervidobacteriaceae;Thermosipho;Thermosipho globiformans;	no rank;superkingdom;phylum;class;order;family;genus;species;
NZ_BMIV01000059.1	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus acridae;	no rank;superkingdom;phylum;class;order;family;genus;species;
NZ_BMRF01000099.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura cremea;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_RRUE01000006.1	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia dentalis;	no rank;superkingdom;phylum;class;order;family;genus;species;
NZ_BMRF01000083.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura cremea;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_JADKPO010000073.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Nocardioides;Nocardioides agariphilus;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BNBF01000096.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces capoamus;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_QPLJ01000097.1	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;Jannaschia formosa;	no rank;superkingdom;phylum;class;order;family;genus;species;
NZ_BMRF01000125.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura cremea;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BNBF01000074.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces capoamus;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BMIV01000076.1	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus acridae;	no rank;superkingdom;phylum;class;order;family;genus;species;
NZ_JACBZL010000001.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium tuberculostearicum;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BNBF01000107.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces capoamus;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BMVC01000047.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces finlayi;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BMRF01000161.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura cremea;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BNBF01000111.1	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces capoamus;	no rank;superkingdom;clade;phylum;class;order;family;genus;species;
NZ_BMIV01000078.1	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus acridae;	no rank;superkingdom;phylum;class;order;family;genus;species;
